N	QAccuracy	QLoss	CAccuracy	CLoss	Fidelity
3.800000000000000000e+01	9.802083373069763184e-01	9.917542338371276855e-02	9.731249809265136719e-01	1.193923726677894592e-01	9.951326251029968262e-01
3.900000000000000000e+01	9.797916412353515625e-01	9.551695734262466431e-02	9.765625000000000000e-01	1.137850284576416016e-01	9.954208135604858398e-01
4.000000000000000000e+01	9.821875095367431641e-01	8.967737853527069092e-02	9.764583110809326172e-01	1.103334277868270874e-01	9.962274432182312012e-01
4.100000000000000000e+01	9.793750047683715820e-01	8.702269941568374634e-02	9.766666889190673828e-01	1.057302504777908325e-01	9.956769943237304688e-01
4.200000000000000000e+01	9.846875071525573730e-01	8.059924095869064331e-02	9.803125262260437012e-01	9.989243000745773315e-02	9.963153004646301270e-01
4.300000000000000000e+01	9.850000143051147461e-01	7.842241227626800537e-02	9.790624976158142090e-01	9.623869508504867554e-02	9.966289401054382324e-01
4.400000000000000000e+01	9.854166507720947266e-01	7.637574523687362671e-02	9.812499880790710449e-01	8.956402540206909180e-02	9.966483712196350098e-01
4.500000000000000000e+01	9.859374761581420898e-01	7.197780907154083252e-02	9.815624952316284180e-01	8.732624351978302002e-02	9.972787499427795410e-01
4.600000000000000000e+01	9.865624904632568359e-01	6.990733742713928223e-02	9.833333492279052734e-01	8.258706331253051758e-02	9.969911575317382812e-01
4.700000000000000000e+01	9.861458539962768555e-01	6.751453131437301636e-02	9.833333492279052734e-01	7.802855968475341797e-02	9.969207644462585449e-01
4.800000000000000000e+01	9.881250262260437012e-01	6.491303443908691406e-02	9.857291579246520996e-01	7.587637007236480713e-02	9.980730414390563965e-01
4.900000000000000000e+01	9.877083301544189453e-01	6.205120682716369629e-02	9.838541746139526367e-01	7.751290500164031982e-02	9.972724318504333496e-01
5.000000000000000000e+01	9.886458516120910645e-01	5.868431180715560913e-02	9.868749976158142090e-01	7.027721405029296875e-02	9.978756904602050781e-01
5.100000000000000000e+01	9.905208349227905273e-01	5.587019026279449463e-02	9.870833158493041992e-01	6.641943752765655518e-02	9.983523488044738770e-01
5.200000000000000000e+01	9.893749952316284180e-01	5.488570407032966614e-02	9.883333444595336914e-01	6.159598752856254578e-02	9.980658888816833496e-01
5.300000000000000000e+01	9.895833134651184082e-01	5.426895245909690857e-02	9.888541698455810547e-01	5.930388718843460083e-02	9.978344440460205078e-01
